"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"43 anos";"244111";"114757";"129354";"98764";"44509";"54255";"42444";"20492";"21952";"427";"189";"238";"102180";"49432";"52748";"284";"133";"151"
"Rio de Janeiro";"44 anos";"225108";"105729";"119379";"91504";"41140";"50364";"39190";"18895";"20295";"385";"156";"229";"93752";"45411";"48341";"268";"120";"148"
"Rio de Janeiro";"45 a 49 anos";"1108422";"519365";"589057";"452815";"203718";"249097";"189206";"90765";"98441";"1619";"708";"911";"463538";"223603";"239935";"1205";"558";"647"
"Rio de Janeiro";"45 anos";"248331";"118070";"130261";"100083";"45712";"54371";"42460";"20697";"21763";"363";"151";"212";"105154";"51385";"53769";"264";"123";"141"
"Rio de Janeiro";"46 anos";"220781";"103284";"117497";"90127";"40497";"49630";"38150";"18213";"19937";"338";"157";"181";"91923";"44296";"47627";"232";"117";"115"
"Rio de Janeiro";"47 anos";"214171";"100264";"113907";"88265";"39775";"48490";"36326";"17493";"18833";"330";"152";"178";"89014";"42745";"46269";"230";"98";"132"
"Rio de Janeiro";"48 anos";"213831";"99907";"113924";"87504";"38853";"48651";"36316";"17483";"18833";"305";"135";"170";"89453";"43312";"46141";"241";"120";"121"
"Rio de Janeiro";"49 anos";"211308";"97840";"113468";"86836";"38881";"47955";"35954";"16879";"19075";"283";"113";"170";"87994";"41865";"46129";"238";"100";"138"
"Rio de Janeiro";"50 a 54 anos";"1062750";"494486";"568264";"445381";"199335";"246046";"177356";"84269";"93087";"1440";"645";"795";"437371";"209731";"227640";"1167";"489";"678"
"Rio de Janeiro";"50 anos";"241870";"114255";"127615";"99324";"45045";"54279";"40988";"19975";"21013";"330";"152";"178";"100969";"48964";"52005";"250";"115";"135"
"Rio de Janeiro";"51 anos";"205422";"95358";"110064";"87086";"38926";"48160";"34050";"16143";"17907";"303";"123";"180";"83767";"40079";"43688";"210";"83";"127"
